subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_specific_thresholds_across_projects.py,28,31,1,6,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_metric_distribution_across_projects.py,23,30,1,5,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_metric_distribution_across_projects.py,34,47,2,16,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_metric_distribution_across_projects.py,42,63,1,7,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detect_single_file.py,48,37,1,6,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,244,152,8,52,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,364,22,1,5,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,365,17,2,4,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,373,23,1,5,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,382,27,2,8,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,389,26,2,6,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,460,35,1,6,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,463,30,2,5,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,466,28,1,6,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,488,41,2,7,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,549,86,4,31,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,549,39,2,14,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,550,87,5,30,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,550,61,3,21,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,555,117,3,43,1,1,1
